MATERIAS,NOTAS
Historia del Arte II,9.1
Dibujo Naturalista,8.7
Grafica Digital II,8.6
Semiotica de la Imagen,8.0
Ingles II,7.2
Logica y Forma,8.9
Teoria de la comunicacion,7.2
Introduccion al Cine,9.1
Fotografia e Iluminacion,8.3
