MATERIAS,NOTAS
Photoshop,10.0
Interfaces,9.4
Medios Artisticos Digitales,10.0
Ingles II,7.7
Animacion Digital,8.3
Tecnicas de Edicion ,8.1
Animacion Clasica I,9.5
Modelado 3D Inorganico,10.0
